Word,Part of Speech,Category,Farsi
nose,noun,body parts,bini
mouth,noun,body parts,dahan
jaw,noun,body parts,fak
gums,noun,body parts,lazhe
teeth,noun,body parts,dandun
tongue,noun,body parts,zabān
eye,noun,body parts,cheshm
ear,noun,body parts,gush
cheek,noun,body parts,gune
lip,noun,body parts,lab
chin,noun,body parts,chāne
eyebrow,noun,body parts,abru
eyelid,noun,body parts,pelk
eyelashes,noun,body parts,mozhe
friend,noun,,dust
name,noun,,esme
children,noun,,bachehā
family,noun,,khunevāde
to do,verb,kardan,mikonam / kardam / konid
to work,verb,kardan,kār mikonam / kardam / konid
to make / fix,verb,kardan,dorost mikonam / kardam / konid
to open,verb,kardan,bāz mikonam / kardam / konid
to play,verb,kardan,bāzi mikonam / kardam / konid
to think,verb,kardan,fekr mikonam / kardam / konid
to clean,verb,kardan,tamiz mikonam / kardam / konid
to lose,verb,kardan,gom mikonam / kardam / konid
to find,verb,kardan,peydā mikonam / kardam / konid
to mail,verb,kardan,post mikonam / kardam / konid
to start,verb,kardan,shoru mikonam / kardam / konid
to empty,verb,kardan,khāli mikonam / kardam / konid
to fill up,verb,kardan,por mikonam / kardam / konid
to turn on,verb,kardan,roshan mikonam / kardam / konid
to turn off,verb,kardan,khāmush mikonam / kardam / konid
to vacuum,verb,kardan,jāru mikonam / kardam / konid
to wait,verb,kardan,sabr mikonam / kardam / konid
to rush,verb,kardan,'ajale mikonam / kardam / konid
to request,verb,kardan,khāhesh mikonam / kardam / konid
to change,verb,kardan,'avaz mikonam / kardam / konid
to put on makeup,verb,kardan,ārāyesh mikonam / kardam / konid
to drive,verb,kardan,rānandegi mikonam / kardam / konid
to accept,verb,kardan,ghabl mikonam / kardam / konid
to travel,verb,kardan,safar mikonam / kardam / konid
to be surprised,verb,kardan,tahjob mikonam / kardam / konid
to rest,verb,kardan,esterāhat mikonam / kardam / konid
to help,verb,kardan,komak mikonam / kardam / konid
to use,verb,kardan,estefāde mikonam / kardam / konid
to be,verb,,hastam / budam
to have,verb,,dāram / dāshtam
to like,verb,,dust dāram / dāshtam
to come,verb,,miyām / umadam
to be able,verb,,mitunam / tunestam
to want,verb,,mikhām / khāstam
to eat,verb,,mikhoram / khordam / bokhorid
to see,verb,,mibinam / didam / bebinid
bread,noun,food,nun
to put / let,verb,,mizāram / gozāshtam / bezārid
to buy,verb,,mikharam / kharidam / bekharid
to take / win,verb,,mibaram / bordam / bebarid
to cook,verb,,mipazam / pokhtam / bepazid
to become,verb,,misham / shodam / beshid
to tell / say,verb,,migam / goftam / begid
to give,verb,,midam / dādam / bedid
to talk,verb,zadan,harf mizanam / zadam / bezanid
to wear,verb,,mipusham / pushidam / bepushid
usually,adverb,,ma'amulan
book,noun,,ketāb
chandelier,noun,dining room,luster
excited,adjective,emotions,zoghzade
to be scared,verb,emotions,mitarsam / tarsidam / betarsid
to know,verb,,midunam / midunestam
together,adverb,,bāham
cilantro,noun,food,geshniz
tree,noun,,derakht
dresser,noun,bedroom,komod
drawer,noun,bedroom,kesho
photo,noun,bedroom,aks
picture frame,noun,bedroom,ghābe aks
closet,noun,bedroom,komode lebās
bed,noun,bedroom,takhte khāb
pillow,noun,bedroom,bālesh
blanket,noun,bedroom,patu
pillowcase,noun,bedroom,ru bāleshi
sheet,noun,bedroom,malofe
mattress,noun,bedroom,doshak
rug,noun,bedroom,ghāli
carpet,noun,bedroom,muket
night stand,noun,bedroom,pātakhti
curtains,noun,bedroom,parde
close,adjective,,nazdik
memory,noun,,yād
to use,verb,kardan,estefāde mikonam / kardam / konid
to need,verb,,lāzam dāram / dāshtam
cold,adjective,weather,sard
moon,noun,weather,māh
warm,adjective,weather,garm
season,noun,weather,fasl
summer,noun,weather,tābestān
winter,noun,weather,zemestān
spring,noun,weather,bahār
autumn,noun,weather,pāyiz
humid,adjective,weather,martub
mild,adjective,weather,motadel
to wash,verb,,mishuram / shostam / beshostid
often,adverb,,aghlab
fortunately,adverb,,khoshbakhtane
